Date,AAPL,JPM,MSFT,NVDA
2021-12-01,161.2336883544922,141.51467895507812,318.65240478515625,31.372528076171875
2021-12-02,160.24533081054688,144.49034118652344,318.0829162597656,32.06215286254883
2021-12-03,158.3665771484375,141.8731689453125,311.8272399902344,30.632001876831055
2021-12-06,161.77188110351562,143.54920959472656,314.8970947265625,29.977304458618164
2021-12-07,167.50608825683594,145.70928955078125,323.32489013671875,32.36255645751953
2021-12-08,171.32240295410156,144.0421600341797,323.3731689453125,31.76274871826172
2021-12-09,170.8135223388672,143.8181610107422,321.5679626464844,30.429407119750977
2021-12-10,175.5985870361328,143.2445068359375,330.6810607910156,30.137983322143555
2021-12-13,171.96823120117188,141.5415496826172,327.6497497558594,28.105031967163086
2021-12-14,170.58848571777344,142.62606811523438,316.9726867675781,28.280681610107422
2021-12-15,175.45184326171875,141.5594482421875,323.06414794921875,30.39847183227539
2021-12-16,168.56292724609375,143.7732696533203,313.6517639160156,28.330585479736328
2021-12-17,167.4669647216797,140.5018310546875,312.5898742675781,27.745750427246094
2021-12-20,166.10679626464844,137.97433471679688,308.83453369140625,27.663911819458008
2021-12-21,169.2772674560547,139.90130615234375,315.9590759277344,29.017221450805664
2021-12-22,171.87037658691406,140.4480743408203,321.6644592285156,29.341569900512695
2021-12-23,172.4966278076172,140.95001220703125,323.1029052734375,29.581092834472656
2021-12-27,176.45968627929688,141.75665283203125,330.59417724609375,30.883499145507812
2021-12-28,175.44203186035156,142.1868896484375,329.43572998046875,30.261743545532227
2021-12-29,175.5301055908203,142.11517333984375,330.11151123046875,29.941375732421875
2021-12-30,174.3754119873047,142.04344177246094,327.5725402832031,29.52720069885254
2021-12-31,173.7589569091797,141.92694091796875,324.6763916015625,29.352550506591797
2022-01-03,178.10365295410156,144.9295196533203,323.1607360839844,30.061138153076172
2022-01-04,175.84323120117188,150.42376708984375,317.6194763183594,29.231788635253906
2022-01-05,171.16586303710938,147.67369079589844,305.4267578125,27.54913902282715
2022-01-06,168.3085174560547,149.24258422851562,303.0133361816406,28.121997833251953
2022-01-07,168.47488403320312,150.72129821777344,303.1677551269531,27.19285011291504
2022-01-10,168.49440002441406,150.8655548095703,303.3897705078125,27.34554672241211
2022-01-11,171.32240295410156,151.0188446044922,304.0751953125,27.76171875
2022-01-12,171.7627410888672,151.8754119873047,307.2513122558594,27.943355560302734
2022-01-13,168.49440002441406,151.68606567382812,294.2476806640625,26.522186279296875
2022-01-14,169.3555450439453,142.3629608154297,299.4606628417969,26.888458251953125
2022-01-18,166.15573120117188,136.39395141601562,292.172119140625,25.851524353027344
2022-01-19,162.662353515625,134.28404235839844,292.82855224609375,25.017183303833008
2022-01-20,160.97926330566406,133.1389617919922,291.158447265625,24.102005004882812
2022-01-21,158.92433166503906,130.8126678466797,285.7812805175781,23.327550888061523
2022-01-24,158.15127563476562,130.69544982910156,286.10955810546875,23.325551986694336
2022-01-25,156.3507843017578,132.12010192871094,278.5022888183594,22.27963638305664
2022-01-26,156.26266479492188,133.37338256835938,286.4378356933594,22.726741790771484
2022-01-27,155.8028106689453,131.0200653076172,289.4593505859375,21.9003849029541
2022-01-28,166.67434692382812,132.19219970703125,297.58795166015625,22.794612884521484
2022-01-31,171.02883911132812,133.98651123046875,300.21368408203125,24.437339782714844
2022-02-01,170.8624725341797,136.2857208251953,298.0705261230469,24.589035034179688
2022-02-02,172.06610107421875,135.19471740722656,302.60784912109375,25.19183349609375
2022-02-03,169.18919372558594,134.07664489746094,290.8206481933594,23.900405883789062
2022-02-04,168.9050750732422,137.55706787109375,295.34820556640625,24.27066993713379
2022-02-07,168.18980407714844,138.01693725585938,290.5309753417969,24.678855895996094
2022-02-08,171.2957000732422,140.6136932373047,294.0159912109375,25.058101654052734
2022-02-09,172.7163848876953,141.19979858398438,300.435791015625,26.651926040649414
2022-02-10,168.6405029296875,140.6136932373047,291.91143798828125,25.772672653198242
2022-02-11,165.23086547851562,138.7833251953125,284.8255920410156,23.901405334472656
2022-02-14,165.4660186767578,137.4939727783203,284.7869567871094,24.218772888183594
2022-02-15,169.29698181152344,139.50466918945312,290.0675964355469,26.442346572875977
2022-02-16,169.06185913085938,139.75714111328125,289.7290344238281,26.458311080932617
2022-02-17,165.4660186767578,136.53819274902344,281.24505615234375,24.458295822143555
2022-02-18,163.91793823242188,137.1783905029297,278.53643798828125,23.595014572143555
2022-02-22,160.99818420410156,136.93490600585938,278.33331298828125,23.34351348876953
2022-02-23,156.8341064453125,134.06764221191406,271.1263732910156,22.342504501342773
2022-02-24,159.45016479492188,130.33477783203125,284.9791564941406,23.700801849365234
2022-02-25,161.5175018310547,133.41847229003906,287.61041259765625,24.108989715576172
2022-02-28,161.78201293945312,127.8552017211914,289.042236328125,24.336536407470703
2022-03-01,159.90084838867188,123.0313720703125,285.3274230957031,23.430339813232422
2022-03-02,163.19290161132812,125.5830307006836,290.3965148925781,24.175981521606445
2022-03-03,162.86961364746094,124.6904067993164,286.26580810546875,23.670902252197266
2022-03-04,159.87144470214844,121.18295288085938,280.4034729003906,22.894317626953125
2022-03-07,156.07969665527344,116.50334930419922,269.81072998046875,21.313196182250977
2022-03-08,154.2572784423828,115.68282318115234,266.8505554199219,21.47490119934082
2022-03-09,159.65589904785156,120.31735229492188,279.087890625,22.97217559814453
2022-03-10,155.3154296875,118.89273071289062,276.2727966308594,22.6168270111084
2022-03-11,151.60206604003906,116.21481323242188,270.9329528808594,22.059837341308594
2022-03-14,147.5751495361328,117.36893463134766,267.42132568359375,21.291234970092773
2022-03-15,151.95480346679688,119.45175170898438,277.7818908691406,22.931249618530273
2022-03-16,156.3638153076172,124.78955841064453,284.7857360839844,24.45148277282715
2022-03-17,157.3729705810547,126.36747741699219,285.588623046875,24.720991134643555
2022-03-18,160.6650848388672,126.32242584228516,290.6286315917969,26.40492057800293
2022-03-21,162.03677368164062,125.91666412353516,289.400146484375,26.685415267944336
2022-03-22,165.4072265625,128.59458923339844,294.1402587890625,26.475797653198242
2022-03-23,166.76913452148438,126.03386688232422,289.7192687988281,25.58741569519043
2022-03-24,170.5510711669922,126.8543930053711,294.1789855957031,28.09884262084961
2022-03-25,171.18795776367188,127.96340942382812,293.7725524902344,27.641674041748047
2022-03-28,172.0501708984375,127.01669311523438,300.5636291503906,28.167715072631836
2022-03-29,175.3422393798828,127.29620361328125,305.1199951171875,28.603923797607422
2022-03-30,174.17628479003906,126.71912384033203,303.6205139160156,27.63967514038086
2022-03-31,171.0801544189453,122.91413879394531,298.25152587890625,27.23641586303711
2022-04-01,170.78628540039062,122.00343322753906,299.3254089355469,26.663454055786133
2022-04-04,174.832763671875,122.54446411132812,304.6943054199219,27.310277938842773
2022-04-05,171.52110290527344,121.11837768554688,300.73779296875,25.88387107849121
2022-04-06,168.3563995361328,119.43792724609375,289.7290344238281,24.362642288208008
2022-04-07,168.6601104736328,119.0745849609375,291.53802490234375,24.164011001586914
2022-04-08,166.6515350341797,121.25462341308594,287.28155517578125,23.076988220214844
2022-04-11,162.39926147460938,120.80953216552734,275.9535827636719,21.87717056274414
